
0.042	256.59	0.0	288.04	0.0449	222.31	0.0	237.56	0.0271	98.88	0.0	50.95	
0.0398	281.59	0.0	258.6	0.0333	230.47	0.0	199.86	0.0414	120.21	0.0	14.01	
0.037	306.02	0.0	298.58	0.0198	245.49	0.0	224.22	0.0437	128.49	0.0	21.05	
0.0333	331.16	0.0	259.64	0.0099	284.7	0.0	191.52	0.0362	136.44	0.0	26.66	
0.0291	358.53	0.0	318.07	0.0093	348.18	0.0	153.33	0.0243	149.38	0.0	337.33	
0.0255	29.13	0.0	151.68	0.0117	19.09	0.0	112.94	0.0134	177.89	0.0	355.72	
0.0233	61.74	0.0	96.75	0.0116	38.0	0.0	266.21	0.0098	233.87	0.0	24.16	
0.0219	93.95	0.0	81.47	0.0095	56.34	0.0	39.85	0.0111	274.41	0.0	61.92	
0.0205	124.78	0.0	96.62	0.0066	82.28	0.0	352.56	0.0115	298.23	0.0	60.86	
0.0186	155.95	0.0	101.62	0.0045	120.15	0.0	339.88	0.0097	321.34	0.0	81.82	
0.0164	189.18	0.0	119.7	0.0036	167.5	0.0	314.59	0.0075	349.9	0.0	68.98	
0.0146	225.17	0.0	115.73	0.0036	210.28	0.0	290.29	0.0058	23.34	0.0	350.15	
0.0134	262.58	0.0	122.13	0.0037	244.11	0.0	308.73	0.0045	58.75	0.0	275.36	
0.0126	299.57	0.0	91.94	0.0034	271.59	0.0	269.04	0.0034	101.98	0.0	223.5	
0.0116	336.17	0.0	97.11	0.0027	297.4	0.0	271.29	0.0033	150.89	0.0	259.56	
0.0105	13.87	0.0	82.13	0.0016	333.8	0.0	285.46	0.0037	184.03	0.0	216.05	
0.0096	53.41	0.0	91.28	0.0013	41.25	0.0	265.69	0.0033	204.78	0.0	161.03	
0.0088	94.07	0.0	98.02	0.0017	86.49	0.0	233.66	0.0021	226.33	0.0	111.05	
0.0081	135.24	0.0	115.64	0.0019	108.27	0.0	199.03	0.0009	290.32	0.0	160.38	
0.0075	177.22	0.0	131.77	0.0014	127.57	0.0	290.42	0.0016	359.44	0.0	152.82	
0.007	219.7	0.0	109.59	0.0006	171.93	0.0	336.9	0.002	17.17	0.0	206.18	
0.0064	262.3	0.0	107.76	0.0007	259.45	0.0	0.55	0.0015	28.29	0.0	232.05	
0.0058	306.63	0.0	193.48	0.001	287.4	0.0	247.08	0.0006	54.79	0.0	203.66	
