T,w,sig,sw,we,swe
25.132741228718345,0.25,0.082,0.06080154501023396,0.356915332451128,0.03277141293743849
22.84794657156213,0.275,0.082,0.5842403405636871,0.4043675522658649,0.30102215928999776
20.94395102393195,0.30000000000000004,0.082,2.1519994352075176,0.45395807872962435,1.0619882736140842
19.33287786824488,0.32500000000000007,0.082,4.666016577202879,0.5056869118424064,2.2093724079537482
17.9519580205131,0.3500000000000001,0.082,8.010264806067733,0.559554051604211,3.6452517798579955
16.75516081914556,0.3750000000000001,0.082,12.931653115210677,0.6155594980150382,5.664364347352529
15.70796326794896,0.40000000000000013,0.082,17.308214841062476,0.6737032510748879,7.307619190616964
14.783965428657844,0.42500000000000016,0.096,15.77843660264258,0.7339853107837603,6.429553639818389
13.962634015954631,0.4500000000000002,0.096,11.414233729591002,0.796405677141655,4.494534604564847
13.227758541430703,0.4750000000000002,0.096,8.223023932529571,0.8609643501485725,3.132445637846621
12.566370614359167,0.5000000000000002,0.096,6.4910513982260465,0.9276613298045125,2.394651691317014
11.967972013675396,0.5250000000000002,0.096,5.433313842572357,0.996496616109475,1.9431218787288267
11.423973285781061,0.5500000000000003,0.096,4.618052511678446,1.0674702090634602,1.602539030725729
10.927278795094928,0.5750000000000003,0.096,3.9241954912543346,1.1405821086664678,1.322505995934232
10.471975511965972,0.6000000000000003,0.096,3.3289191187859615,1.2158323149184982,1.0904569748935573
10.053096491487333,0.6250000000000003,0.096,2.822916319342113,1.293220827819551,0.8995030234605412
9.666438934122436,0.6500000000000004,0.096,2.3959600039714473,1.3727476473696265,0.7432009064831756
9.308422677303085,0.6750000000000004,0.096,2.037199920082716,1.4544127735687242,0.6155851999355897
8.975979010256546,0.7000000000000004,0.096,1.7362887512859495,1.5382162064168445,0.5114398033524986
8.666462492661493,0.7250000000000004,0.096,1.4839434490754282,1.6241579459139877,0.4263671481101391
8.377580409572777,0.7500000000000004,0.096,1.2721235587277635,1.7122379920601536,0.3567400398099462
8.10733588023172,0.7750000000000005,0.096,1.094011297694594,1.8024563448553415,0.2996059768190205
7.853981633974478,0.8000000000000005,0.096,0.9439008157430752,1.8948130042995524,0.25258030617291133
7.615982190520706,0.8250000000000005,0.096,0.817054767085411,1.9893079703927858,0.21374517236793028
7.39198271432892,0.8500000000000005,0.096,0.7095579904724355,2.0859412431350415,0.18156099572889411
7.180783208205237,0.8750000000000006,0.096,0.6181823030984491,2.18471282252632,0.15479210896272916
6.981317007977314,0.9000000000000006,0.096,0.5402678889957351,2.2856227085666214,0.13244581738582112
6.792632764518467,0.9250000000000006,0.096,0.4736223587275368,2.3886709012559444,0.1137232115637589
6.6138792707153495,0.9500000000000006,0.096,0.41643644217562453,2.493857400594291,0.09797983254052182
6.444292622748289,0.9750000000000006,0.096,0.3672143992283074,2.60118220658166,0.08469438739010546
6.283185307179582,1.0000000000000007,0.096,0.32471700076681537,2.7106453192180506,0.07344393918461659
6.12993688505325,1.0250000000000008,0.096,0.2879150151368696,2.8222467385034644,0.06388425310787575
5.983986006837697,1.0500000000000007,0.096,0.25595135456194995,2.9359864644379012,0.0557342246118134
5.844823541562403,1.0750000000000006,0.096,0.228110297934648,3.0518644970213598,0.04876352863123958
5.711986642890529,1.1000000000000008,0.096,0.20379246454042696,3.169880836253841,0.04278280673922029
5.58505360638185,1.1250000000000009,0.096,0.1824944466588972,3.2900354821353464,0.037635853655426765
5.463639397547462,1.1500000000000008,0.096,0.16379221037547512,3.412328434665872,0.03319338001735041
5.347391750791134,1.1750000000000007,0.096,0.14732754288743855,3.5367596938454207,0.02934801964947167
5.235987755982985,1.2000000000000008,0.096,0.1327969638213675,3.663329259673993,0.026010321300329337
5.1291308630037395,1.225000000000001,0.096,0.11994263149948094,3.792037132151588,0.023105520942200346
5.026548245743665,1.2500000000000009,0.096,0.10854486679194884,3.922883311278204,0.020570934548522345
4.92798847621928,1.2750000000000008,0.096,0.09841599097593148,4.055867797053843,0.018353845452566478
4.833219467061217,1.300000000000001,0.096,0.08939523321995096,4.190990589478506,0.016409787070777216
4.742026646927986,1.325000000000001,0.096,0.0813445107369606,4.328251688552191,0.014701142614632715
4.654211338651542,1.350000000000001,0.096,0.07414492262454792,4.467651094274897,0.01319599971827578
4.569589314312424,1.3750000000000009,0.096,0.06769382882752119,4.6091888066466264,0.011867210687406898
4.487989505128272,1.400000000000001,0.096,0.06190241004166142,4.7528648256673796,0.010691619112173983
4.4092528471435655,1.4250000000000012,0.096,0.056693623949325804,4.898679151337154,0.009649421489998082
4.333231246330746,1.450000000000001,0.096,0.05200048891248492,5.046631783655951,0.008723638743155114
4.25978664893531,1.475000000000001,0.096,0.04776463892224045,5.196722722623771,0.00789967745419664
4.188790204786388,1.500000000000001,0.096,0.04393510383226646,5.3489519682406135,0.0071649645618729555
4.120121512904643,1.5250000000000012,0.096,0.040467277176558826,5.50331952050648,0.006508642380005564
4.053667940115859,1.5500000000000012,0.096,0.03732204057837872,5.659825379421367,0.0059213132919952605
3.9893240045584646,1.575000000000001,0.096,0.034465019206648566,5.818469544985277,0.005394825467049254
3.9269908169872383,1.6000000000000012,0.096,0.031865947174514596,5.979252017198209,0.004922092544437019
3.866575573648973,1.6250000000000013,0.096,0.02949812539859777,6.142172796060166,0.004496941520327085
3.8079910952603524,1.6500000000000012,0.096,0.027337957403326608,6.307231881571144,0.004113984111755742
3.751155407271392,1.6750000000000012,0.096,0.025364550988040753,6.474429273731142,0.0037685077142050618
3.6959913571644596,1.7000000000000013,0.096,0.023559375675748964,6.6437649725401675,0.003456382752717504
